dataset_id,repository,organism,species,tissue,muscle_type,disease_or_condition,age_group,sample_size,number_of_cells_if_single_cell,platform,data_type,raw_data_available,processed_matrix_available,clinical_metadata_available,key_phenotypes,publication_title,publication_year,DOI,download_url,inclusion_decision,reason_for_decision
CELLxGENE_E-MTAB-13874_human_ageing,"CELLxGENE Discover; ArrayExpress",human,Homo sapiens,skeletal muscle,"intercostal / skeletal muscle atlas subsets",healthy aging,"young adults and older adults",17 donors,"~200000 cells/nuclei across human and companion atlas resources","10x Genomics scRNA-seq/snRNA-seq; Illumina NovaSeq/HiSeq",scRNA-seq / snRNA-seq,yes,yes,yes,"age group; donor; cell type; stromal/fibroblast subsets; muscle aging","Human skeletal muscle aging atlas",2024,10.1038/s43587-024-00613-3,https://cellxgene.cziscience.com/collections/2d40e6a7-f2fd-49ba-9db9-6b97e4c6dad5,include,"Primary human aging atlas with processed h5ad objects and FAP/stromal subsets; best anchor for DA-FAP discovery."
GSE167186_snRNA,GEO,human,Homo sapiens,skeletal muscle,lower limb muscle,aging and sarcopenia,"young; old; sarcopenic",17 donors,"143051 nuclei reported in downstream publications","10x Genomics single-nucleus RNA-seq; Illumina sequencing",snRNA-seq,yes,yes,yes,"age; sarcopenia; bulk paired study; cell types including FAP-like fibroblasts","Single-nuclei profiling of aged skeletal muscle",2022,10.1038/s43587-022-00308-5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE167186,include,"Human aging/sarcopenia snRNA-seq with usable processed and raw data; directly supports FAP state analysis."
GSE167186_bulk,GEO,human,Homo sapiens,skeletal muscle,lower limb muscle,aging and sarcopenia,"young; old; sarcopenic",72 samples,NA,"bulk RNA-seq; Illumina sequencing",bulk RNA-seq,yes,yes,yes,"age; sarcopenia; same cohort as GSE167186 snRNA-seq","Single-nuclei profiling of aged skeletal muscle",2022,10.1038/s43587-022-00308-5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE167186,include,"Useful paired bulk validation and deconvolution test, but not independent from the GSE167186 single-nucleus study."
GSE143704,GEO,human,Homo sapiens,skeletal muscle,"multiple donor muscle sites",homeostatic donor muscle,"adult donors aged 41-81",10 donors,not specified in accession summary,"10x Genomics Chromium",scRNA-seq,yes,yes,yes,"cell type reference; donor age; anatomical site; FAP markers","A reference single-cell transcriptomic atlas of human skeletal muscle tissue reveals bifurcated muscle stem cell populations",2020,10.1186/s13395-020-00236-3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143704,include,"Human skeletal muscle reference atlas; useful for annotation and baseline FAP/stromal comparison, but not a primary degeneration cohort."
GSE130646,GEO,human,Homo sapiens,skeletal muscle,vastus lateralis,healthy reference,"adult donor; exact age metadata to verify",4 samples,not specified in accession summary,"single-cell RNA-seq; Illumina HiSeq 2500",scRNA-seq,yes,yes,partial,"11 mononuclear cell types; two FAP subtypes; deconvolution signatures","Single-cell transcriptional profiles in human skeletal muscle",2020,10.1038/s41598-020-57710-5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130646,include,"Small but valuable human FAP reference and bulk deconvolution signature source."
SCP2678,Single Cell Portal,human,Homo sapiens,skeletal muscle,"quadriceps; gracilis; biceps brachii cultured FAPs",Duchenne muscular dystrophy vs control,pediatric,5 donors,"~10000 cultured FAPs","10x Genomics Next GEM 3 prime v3.1",scRNA-seq,unknown,yes,yes,"DMD; control; cultured PDGFRA+ CD56- FAPs; inflammatory and myofibroblast-like states","Single cell RNA sequencing of human FAPs reveals different functional stages in Duchenne muscular dystrophy",2024,10.3389/fcell.2024.1399319,https://singlecell.broadinstitute.org/single_cell/study/SCP2678/single-cell-rna-sequencing-of-human-faps,maybe,"Highly relevant human FAP disease dataset, but cells were cultured/expanded; use as supportive validation rather than primary tissue atlas."
PRJNA722100,SRA BioProject,human,Homo sapiens,paraspinal muscle,"paravertebral muscle",adolescent idiopathic scoliosis muscle imbalance/fibrosis,"adolescent patients",2 patients,not specified in source article,"10x Genomics scRNA-seq",scRNA-seq,yes,unclear,partial,"concave vs convex paraspinal muscle; FAPs; ESR1/myostatin/SMAD3 signaling",The asymmetrical ESR1 signaling in muscle progenitor cells determines the progression of adolescent idiopathic scoliosis,2023,10.1038/s41421-023-00531-5,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA722100,maybe,"Strategically relevant paraspinal FAP/fibrosis dataset; not aging degeneration and processed matrices must be verified."
GSE254300,GEO,human,Homo sapiens,paraspinal muscle,bilateral paraspinal muscle,idiopathic scoliosis vs congenital scoliosis paraspinal imbalance/fibrosis,adolescent patients,20 samples,NA,"bulk RNA-seq; Illumina NovaSeq 6000",bulk RNA-seq,yes,yes,yes,"concavity/convexity; scoliosis type; ECM fibrosis","Comparative Analysis of Paraspinal Muscle Imbalance Between Idiopathic Scoliosis and Congenital Scoliosis from the Transcriptome Aspect",2024,10.1186/s13018-024-04657-0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254300,maybe,"Paraspinal bulk RNA-seq with fibrosis signal; useful extension toward MRI-defined paraspinal degeneration but not an aging/sarcopenia cohort."
GSE164471,GEO,human,Homo sapiens,skeletal muscle,vastus lateralis,healthy aging,"22-83 years",53 samples,NA,"bulk RNA-seq; Illumina HiSeq 2500",bulk RNA-seq,yes,yes,yes,"age as continuous variable; very healthy GESTALT participants; TPM/count outputs","Skeletal muscle transcriptome in healthy aging",2021,10.1038/s41467-021-22168-2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164471,include,"Strong independent human bulk RNA-seq aging validation cohort."
GSE111017,GEO,human,Homo sapiens,skeletal muscle,muscle biopsy,elderly sarcopenia,"older adults",119 samples,NA,"bulk RNA-seq; Illumina HiSeq 2500",bulk RNA-seq,yes,partial,yes,"Hertfordshire/Jamaica/Singapore sarcopenia studies; sarcopenia-related phenotypes","Study of sarcopenia in human muscle biopsies of elderly individuals",2019,10.1002/jcsm.12469,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111017,include,"Large human sarcopenia bulk RNA-seq validation resource; phenotype harmonization needed across subseries."
