dataset_id,repository,species,tissue,muscle_type,disease_or_condition,age_group,sample_size,number_of_cells_if_single_cell,platform,data_type,publication_year,DOI,inclusion_decision,role_in_project,reason_for_decision
GSE111017,GEO,Homo sapiens,skeletal muscle,muscle biopsy,elderly sarcopenia,older adults,119 samples,,bulk RNA-seq; Illumina HiSeq 2500,bulk RNA-seq,2019,10.1002/jcsm.12469,include,bulk validation/meta-validation,Large human sarcopenia bulk RNA-seq validation resource; phenotype harmonization needed across subseries.
GSE164471,GEO,Homo sapiens,skeletal muscle,vastus lateralis,healthy aging,22-83 years,53 samples,,bulk RNA-seq; Illumina HiSeq 2500,bulk RNA-seq,2021,10.1038/s41467-021-22168-2,include,bulk validation/meta-validation,Strong independent human bulk RNA-seq aging validation cohort.
GSE167186_bulk,GEO,Homo sapiens,skeletal muscle,lower limb muscle,aging and sarcopenia,young; old; sarcopenic,72 samples,,bulk RNA-seq; Illumina sequencing,bulk RNA-seq,2022,10.1038/s43587-022-00308-5,include,bulk validation/meta-validation,"Useful paired bulk validation and deconvolution test, but not independent from the GSE167186 single-nucleus study."
GSE25941,GEO,Homo sapiens,skeletal muscle,vastus lateralis,healthy aging,young vs old adults,36 samples,,Affymetrix Human Genome U133 Plus 2.0 Array,bulk RNA-seq,2012,10.1111/j.1532-5415.2011.03943.x,include,bulk validation/meta-validation,Independent human aging validation; microarray but well-described sample groups.
GSE282285,GEO,Mus musculus,skeletal muscle,FACS-isolated MuSCs and FAPs,aged/PRC2-deficient muscle fibrosis and FAP expansion,adult control and iEzh2KO; aged context in publication,31 samples,,bulk RNA-seq; Illumina NovaSeq 6000,bulk RNA-seq,2025,10.1038/s43587-025-01002-0,include,bulk validation/meta-validation,Directly relevant sorted FAP/MuSC bulk RNA-seq support for aging-associated FAP expansion and IL6/SPP1 signaling; mouse mechanistic support.
GSE38718,GEO,Homo sapiens,skeletal muscle,biceps brachii,sex and aging effects,young vs older adults,22 samples,,Affymetrix Human Genome U133 Plus 2.0 Array,bulk RNA-seq,2013,10.1152/japplphysiol.01142.2012,include,bulk validation/meta-validation,"Independent human aging validation cohort; microarray, smaller sample size."
GSE130646,GEO,Homo sapiens,skeletal muscle,vastus lateralis,healthy reference,adult donor; exact age metadata to verify,4 samples,not specified in accession summary,single-cell RNA-seq; Illumina HiSeq 2500,scRNA-seq,2020,10.1038/s41598-020-57710-5,include,single-cell discovery/integration,Small but valuable human FAP reference and bulk deconvolution signature source.
GSE138826,GEO,Mus musculus,skeletal muscle,tibialis anterior,cardiotoxin injury regeneration,0.5 to 21 days post-injury plus uninjured,7 samples,~35000 cells reported in publication context,10x Genomics Chromium; Illumina NovaSeq 6000,scRNA-seq,2020,10.1016/j.celrep.2020.03.035,include,single-cell discovery/integration,Strong mouse regeneration reference with FAP dynamics; useful for trajectory and communication support.
GSE143704,GEO,Homo sapiens,skeletal muscle,multiple donor muscle sites,homeostatic donor muscle,adult donors aged 41-81,10 donors,not specified in accession summary,10x Genomics Chromium,scRNA-seq,2020,10.1186/s13395-020-00236-3,include,single-cell discovery/integration,"Human skeletal muscle reference atlas; useful for annotation and baseline FAP/stromal comparison, but not a primary degeneration cohort."
CELLxGENE_E-MTAB-13874_human_ageing,CELLxGENE Discover; ArrayExpress,Homo sapiens,skeletal muscle,intercostal / skeletal muscle atlas subsets,healthy aging,young adults and older adults,17 donors,~200000 cells/nuclei across human and companion atlas resources,10x Genomics scRNA-seq/snRNA-seq; Illumina NovaSeq/HiSeq,scRNA-seq / snRNA-seq,2024,10.1038/s43587-024-00613-3,include,single-cell discovery/integration,Primary human aging atlas with processed h5ad objects and FAP/stromal subsets; best anchor for DA-FAP discovery.
